# fbuc 0.0208 1.0635e-06
# eoo 390.3 1.01626e-08
# som 0.04937 1.0632e-08
# loo 0.0001984 1.0265e-08
# blo 0.002104 1.035e-08
# buc 0.00208 1.0635e-08
# fblo 0.02104 1.035e-06
# ab: 0.00314697
# data columns: mother_blood,mother_cheek,child_blood,child_cheek
# /home/peter/opt/anaconda2/bin/mope simulate trees/mope_study_both.newick params/mope_map.params --num-families 39 -N 1000 --heteroplasmic-only -s 16571
mother_blood	mother_cheek	child_blood	child_cheek	mother_birth_age	child_age	mother_age	mother_blood_n	mother_cheek_n	child_blood_n	child_cheek_n	family
0	0	98	0	28.8685	12.2837	41.1522	1030	1028	971	1043	0
41	0	167	166	28.8685	12.2837	41.1522	1021	973	1046	1031	0
0	0	53	0	28.8685	12.2837	41.1522	1010	959	969	959	0
0	0	0	26	35.4758	10.3441	45.8199	909	1034	988	984	1
0	0	27	55	35.4758	10.3441	45.8199	973	978	1011	1035	1
993	995	980	967	27.5695	3.9867	31.5562	1002	1004	980	967	2
0	0	21	0	27.5695	3.9867	31.5562	978	1015	929	963	2
1003	989	1016	965	27.5695	3.9867	31.5562	1003	989	1059	983	2
143	115	0	0	33.0217	13.0884	46.1101	1014	994	967	990	3
948	973	969	987	33.0217	13.0884	46.1101	999	973	969	987	3
922	968	917	960	33.0217	13.0884	46.1101	985	968	917	960	3
204	382	83	225	28.0503	15.6255	43.6757	948	975	1023	971	4
980	958	937	1036	28.0503	15.6255	43.6757	980	958	996	1044	4
0	0	86	246	37.9601	11.3497	49.3098	966	966	999	1001	5
1002	806	583	600	37.9601	11.3497	49.3098	1008	984	939	1003	5
65	0	0	0	37.9601	11.3497	49.3098	1029	971	1049	994	5
0	0	71	53	37.9601	11.3497	49.3098	1018	970	1035	1055	5
84	157	121	0	27.4413	15.4638	42.9051	1005	1049	1040	968	6
964	970	937	997	27.4413	15.4638	42.9051	964	970	1060	1026	6
931	1036	1073	999	27.4413	15.4638	42.9051	931	1036	1073	1015	6
335	464	134	70	27.4413	15.4638	42.9051	999	991	1038	980	6
0	0	193	115	27.4413	15.4638	42.9051	1001	1037	997	982	6
983	987	1017	962	27.4413	15.4638	42.9051	983	987	1017	988	6
0	106	0	0	41.3443	6.6874	48.0317	1004	959	1055	1017	7
3	27	6	15	41.3443	6.6874	48.0317	973	1021	964	1026	7
39	0	0	0	27.4292	11.4129	38.8421	992	1024	1018	1008	8
1046	944	985	1024	27.4292	11.4129	38.8421	1046	955	985	1024	8
999	952	696	754	27.4292	11.4129	38.8421	999	952	916	1000	8
0	25	0	0	27.4292	11.4129	38.8421	1011	1006	978	1011	8
76	110	0	0	27.4292	11.4129	38.8421	1008	960	948	989	8
0	0	91	3	24.6977	15.2044	39.9021	1016	968	981	1029	9
0	0	138	100	24.6977	15.2044	39.9021	968	989	989	1046	9
164	0	0	0	24.6977	15.2044	39.9021	965	958	954	1050	9
0	0	18	9	25.3994	11.6705	37.0699	1005	987	999	1028	10
0	0	2	0	25.3994	11.6705	37.0699	986	1009	1021	1002	10
979	1034	1041	934	29.1804	4.0853	33.2657	979	1034	1063	962	12
943	820	1050	990	29.1804	4.0853	33.2657	1002	981	1050	990	12
880	1019	981	997	29.1804	4.0853	33.2657	974	1019	981	997	12
0	11	0	0	29.1804	4.0853	33.2657	1005	1041	1022	999	12
0	0	39	73	29.1804	4.0853	33.2657	1023	1001	1054	974	12
1001	1000	974	926	25.8964	10.0578	35.9541	1001	1000	974	972	13
303	308	349	258	25.8964	10.0578	35.9541	997	1000	984	915	13
0	82	0	0	25.8964	10.0578	35.9541	997	1034	1041	1005	13
959	979	1012	1036	25.8964	10.0578	35.9541	995	979	1012	1036	13
932	969	1062	953	25.8964	10.0578	35.9541	986	1053	1062	953	13
15	217	0	0	35.8695	10.4286	46.2981	986	1014	976	1036	14
133	0	0	0	35.8695	10.4286	46.2981	1026	1032	1017	1024	14
0	0	15	0	21.8276	10.4553	32.2829	990	991	979	1023	15
0	0	4	127	21.8276	10.4553	32.2829	984	1032	987	1020	15
964	1002	971	884	21.8276	10.4553	32.2829	964	1002	1014	983	15
1040	1025	1051	1000	26.1501	17.3586	43.5088	1040	1025	1070	1000	16
0	0	25	27	26.1501	17.3586	43.5088	1021	959	1019	937	16
0	0	67	0	26.1501	17.3586	43.5088	1044	1025	963	979	16
848	669	698	690	39.0779	16.9848	56.0628	1028	1036	988	969	17
0	142	0	0	34.9651	5.0140	39.9791	999	1002	1020	1005	18
285	152	0	0	34.9651	5.0140	39.9791	1045	1017	1002	937	18
1044	1028	982	919	34.9651	5.0140	39.9791	1070	1028	982	919	18
999	936	999	997	34.9651	5.0140	39.9791	999	936	999	1002	18
1002	998	960	1017	34.9651	5.0140	39.9791	1002	998	992	1024	18
235	116	160	146	26.2409	11.6537	37.8946	987	1022	1022	1039	19
1031	967	1009	910	30.8923	11.6993	42.5916	1031	967	1009	981	20
979	948	1052	945	28.0685	11.1278	39.1963	989	948	1052	945	21
0	0	32	0	28.0685	11.1278	39.1963	1002	997	1040	1008	21
0	68	27	67	28.0685	11.1278	39.1963	999	1029	960	1025	21
1003	723	983	980	28.0685	11.1278	39.1963	1003	968	983	980	21
966	998	806	825	28.9985	10.2882	39.2867	966	998	1023	1019	22
0	0	45	0	28.9985	10.2882	39.2867	986	1010	1024	1035	22
1009	990	857	984	31.9418	12.0606	44.0024	1009	990	1001	1014	23
221	233	205	54	33.0989	5.7330	38.8319	1018	995	1001	971	24
967	1028	990	1023	33.0989	5.7330	38.8319	967	1028	990	1033	24
82	90	0	0	33.0989	5.7330	38.8319	938	978	1004	1015	24
1047	972	900	1019	40.8705	15.9366	56.8070	1047	972	971	1019	25
187	268	170	321	25.1424	7.1758	32.3182	1028	1059	997	1023	26
0	0	95	57	25.1424	7.1758	32.3182	1075	1015	974	945	26
1015	1017	981	959	25.1424	7.1758	32.3182	1015	1017	986	970	26
0	22	0	0	25.1424	7.1758	32.3182	972	1022	991	982	26
966	1011	971	1008	30.5188	12.3788	42.8977	966	1011	1003	1034	27
0	0	49	0	30.5188	12.3788	42.8977	1030	1031	1042	1039	27
9	0	0	0	30.5188	12.3788	42.8977	1007	1032	995	984	27
13	0	0	0	30.5188	12.3788	42.8977	1041	1051	1039	997	27
147	108	77	195	30.5188	12.3788	42.8977	1036	1015	999	1042	27
416	593	680	689	30.5188	12.3788	42.8977	1031	1010	946	992	27
1006	867	980	973	24.7555	13.7156	38.4711	1006	926	980	973	28
15	124	36	58	24.7555	13.7156	38.4711	986	999	1015	947	28
517	530	132	253	24.5730	14.5961	39.1690	999	1019	991	986	29
43	0	0	0	24.5730	14.5961	39.1690	1036	969	1016	1027	29
122	291	432	414	32.8879	9.6174	42.5052	973	965	966	984	30
0	40	0	0	32.8879	9.6174	42.5052	1070	1102	1020	997	30
0	0	146	20	27.2048	25.8924	53.0971	991	985	990	975	31
0	0	40	47	27.2048	25.8924	53.0971	990	1021	1034	993	31
1042	967	972	961	31.4687	17.0616	48.5302	1042	967	978	961	32
0	0	26	0	31.4687	17.0616	48.5302	1022	986	1017	989	32
1038	781	988	980	31.4687	17.0616	48.5302	1038	971	988	980	32
957	916	1017	995	27.0861	14.5846	41.6707	957	951	1017	995	33
0	0	3	5	27.0861	14.5846	41.6707	1014	1001	1069	1010	33
996	1011	940	974	27.0861	14.5846	41.6707	996	1011	1008	974	33
1036	974	883	1050	27.0861	14.5846	41.6707	1036	974	1043	1050	33
997	972	936	989	29.8582	2.5043	32.3625	997	972	994	1026	34
0	13	0	0	29.8582	2.5043	32.3625	996	1007	1002	1061	34
1045	1031	1009	946	29.8582	2.5043	32.3625	1045	1031	1009	955	34
981	1005	1064	963	23.8409	7.4280	31.2689	981	1005	1064	969	35
1017	1030	1003	1018	23.8409	7.4280	31.2689	1020	1030	1003	1018	35
1004	984	947	1023	34.7279	14.6830	49.4108	1004	984	947	1024	36
0	0	8	36	34.7279	14.6830	49.4108	1009	962	973	953	36
0	80	0	0	29.0763	16.1208	45.1971	1011	950	990	968	37
1034	1046	988	986	39.4230	4.7540	44.1771	1034	1046	991	993	38
1013	955	1008	971	39.4230	4.7540	44.1771	1013	1038	1008	971	38
1047	1043	942	1008	39.4230	4.7540	44.1771	1047	1043	968	1022	38
966	1054	978	989	39.4230	4.7540	44.1771	966	1054	1000	989	38
1029	1026	913	1011	39.4230	4.7540	44.1771	1029	1026	1023	1011	38
944	966	1046	985	39.4230	4.7540	44.1771	1021	966	1046	985	38
