family	mother_birth_age	child_age	mother_age
0	28.8685	12.2837	41.1522
1	35.4758	10.3441	45.8199
2	27.5695	3.9867	31.5562
3	33.0217	13.0884	46.1101
4	28.0503	15.6255	43.6757
5	37.9601	11.3497	49.3098
6	27.4413	15.4638	42.9051
7	41.3443	6.6874	48.0317
8	27.4292	11.4129	38.8421
9	24.6977	15.2044	39.9021
10	25.3994	11.6705	37.0699
12	29.1804	4.0853	33.2657
13	25.8964	10.0578	35.9541
14	35.8695	10.4286	46.2981
15	21.8276	10.4553	32.2829
16	26.1501	17.3586	43.5088
17	39.0779	16.9848	56.0628
18	34.9651	5.014	39.9791
19	26.2409	11.6537	37.8946
20	30.8923	11.6993	42.5916
21	28.0685	11.1278	39.1963
22	28.9985	10.2882	39.2867
23	31.9418	12.0606	44.0024
24	33.0989	5.733	38.8319
25	40.8705	15.9366	56.807
26	25.1424	7.1758	32.3182
27	30.5188	12.3788	42.8977
28	24.7555	13.7156	38.4711
29	24.573	14.5961	39.169
30	32.8879	9.6174	42.5052
31	27.2048	25.8924	53.0971
32	31.4687	17.0616	48.5302
33	27.0861	14.5846	41.6707
34	29.8582	2.5043	32.3625
35	23.8409	7.428	31.2689
36	34.7279	14.683	49.4108
37	29.0763	16.1208	45.1971
38	39.423	4.754	44.1771
