# fbuc 0.0208 1.0635e-06
# eoo 390.3 1.01626e-08
# som 0.04937 1.0632e-08
# loo 0.0001984 1.0265e-08
# blo 0.002104 1.035e-08
# buc 0.00208 1.0635e-08
# fblo 0.02104 1.035e-06
# ab: 0.00314697
# data columns: mother_blood,mother_cheek,child_blood,child_cheek
# /home/peter/opt/anaconda2/bin/mope simulate trees/mope_study_both.newick params/mope_map.params --num-families 39 -N 1000 --frequencies --heteroplasmic-only -s 16571
mother_blood	mother_cheek	child_blood	child_cheek	mother_birth_age	child_age	mother_age	family
0.7850	0.7810	0.7860	0.5760	32.3999	6.6332	39.0331	0
0.0000	0.0690	0.0000	0.0000	32.3999	6.6332	39.0331	0
0.1210	0.2520	0.2650	0.2640	27.0932	8.3316	35.4247	1
0.2120	0.4130	0.0000	0.0000	27.0932	8.3316	35.4247	1
1.0000	1.0000	0.9340	1.0000	27.0932	8.3316	35.4247	1
0.6230	0.5800	0.6490	0.7280	25.7062	9.6119	35.3181	2
0.0560	0.0030	0.0000	0.0000	25.7062	9.6119	35.3181	2
1.0000	1.0000	0.9670	1.0000	25.7062	9.6119	35.3181	2
1.0000	1.0000	0.9700	1.0000	25.7062	9.6119	35.3181	2
0.9620	1.0000	1.0000	1.0000	31.3333	3.6130	34.9463	3
0.0000	0.0000	0.0120	0.0650	31.3333	3.6130	34.9463	3
1.0000	1.0000	0.9880	1.0000	31.3333	3.6130	34.9463	3
0.0910	0.0000	0.0050	0.0460	31.1829	7.7944	38.9773	4
0.1330	0.0000	0.0000	0.0000	23.5448	12.7042	36.2490	5
0.3950	0.1490	0.1780	0.3480	23.5448	12.7042	36.2490	5
0.0000	0.0000	0.0280	0.0380	28.1406	10.3424	38.4830	6
0.9930	0.8690	1.0000	1.0000	28.1406	10.3424	38.4830	6
1.0000	1.0000	0.9500	0.8820	22.7145	4.2478	26.9623	7
1.0000	0.7410	1.0000	0.9910	27.9995	16.4314	44.4309	8
1.0000	1.0000	1.0000	0.9340	27.9995	16.4314	44.4309	8
0.0000	0.1230	0.0000	0.0000	27.9995	16.4314	44.4309	8
1.0000	0.6530	1.0000	1.0000	27.9995	16.4314	44.4309	8
0.0000	0.0950	0.0000	0.0100	37.1929	16.7008	53.8937	9
0.0000	0.0000	0.0690	0.0110	28.6094	7.7742	36.3836	10
0.0650	0.0660	0.0250	0.0020	28.6094	7.7742	36.3836	10
1.0000	1.0000	1.0000	0.9960	28.6094	7.7742	36.3836	10
1.0000	1.0000	1.0000	0.9880	28.6094	7.7742	36.3836	10
1.0000	1.0000	0.9700	0.9440	28.6094	7.7742	36.3836	10
1.0000	1.0000	1.0000	0.9270	32.7262	14.3173	47.0435	13
0.0000	0.0860	0.0000	0.0000	25.6941	7.6964	33.3905	14
0.7930	1.0000	1.0000	1.0000	28.9216	10.9786	39.9002	15
1.0000	0.9870	1.0000	1.0000	28.9216	10.9786	39.9002	15
0.0000	0.0000	0.1330	0.2760	25.0235	10.2455	35.2690	17
1.0000	0.9520	1.0000	1.0000	25.0235	10.2455	35.2690	17
0.9820	1.0000	1.0000	1.0000	25.0235	10.2455	35.2690	17
0.9640	0.9300	0.9330	1.0000	25.0235	10.2455	35.2690	17
0.9630	0.9860	0.7640	0.8580	26.5424	12.6169	39.1594	18
1.0000	1.0000	0.9710	0.9710	19.9382	13.1840	33.1222	20
1.0000	0.9890	1.0000	1.0000	33.8597	7.4869	41.3466	21
0.0540	0.2920	0.2260	0.1700	33.8597	7.4869	41.3466	21
1.0000	1.0000	0.9540	0.9030	33.8597	7.4869	41.3466	21
0.0000	0.0000	0.0000	0.1700	28.5969	10.3547	38.9517	22
0.0000	0.0000	0.0000	0.0060	28.5969	10.3547	38.9517	22
0.2890	0.0000	0.0000	0.0000	27.7879	15.3058	43.0937	23
0.0000	0.0000	0.0210	0.0360	27.7879	15.3058	43.0937	23
1.0000	1.0000	0.9700	0.9340	41.7588	24.8665	66.6254	24
0.0000	0.0000	0.0000	0.0540	41.7588	24.8665	66.6254	24
0.8730	0.7280	0.8260	0.8520	41.7588	24.8665	66.6254	24
0.0000	0.0000	0.1770	0.0650	41.7588	24.8665	66.6254	24
0.0000	0.0000	0.0700	0.0000	41.7588	24.8665	66.6254	24
0.9660	0.9860	0.9520	0.9780	20.0333	17.5491	37.5824	25
1.0000	0.9330	1.0000	1.0000	33.0996	12.1362	45.2357	26
0.9560	1.0000	1.0000	1.0000	33.2315	10.0271	43.2587	27
0.0890	0.1590	0.1190	0.1290	33.2315	10.0271	43.2587	27
0.7830	0.4740	0.5410	0.5690	33.2315	10.0271	43.2587	27
0.5110	0.7730	0.5790	0.5920	27.5088	7.4045	34.9133	28
1.0000	1.0000	0.9760	0.9670	27.5088	7.4045	34.9133	28
0.0000	0.0000	0.0440	0.0170	22.4998	14.3489	36.8488	29
0.0000	0.0000	0.0560	0.0290	22.4998	14.3489	36.8488	29
0.8730	1.0000	1.0000	1.0000	28.1027	15.9602	44.0628	30
0.1150	0.0570	0.0000	0.0000	28.1027	15.9602	44.0628	30
0.8460	1.0000	1.0000	1.0000	28.1027	15.9602	44.0628	30
0.0000	0.0200	0.0000	0.0000	28.1027	15.9602	44.0628	30
0.0000	0.0000	0.0300	0.0660	27.3395	10.6533	37.9928	31
0.7850	1.0000	1.0000	1.0000	35.3933	16.2869	51.6802	32
0.7780	0.8030	1.0000	1.0000	35.3933	16.2869	51.6802	32
1.0000	1.0000	1.0000	0.9550	26.0212	20.4736	46.4948	33
0.0000	0.0000	0.0430	0.1220	26.0212	20.4736	46.4948	33
0.9890	1.0000	1.0000	1.0000	26.0212	20.4736	46.4948	33
0.0910	0.0230	0.0000	0.0000	26.0212	20.4736	46.4948	33
1.0000	0.9340	1.0000	1.0000	27.9536	15.1162	43.0698	34
0.0000	0.2120	0.0000	0.0000	27.9536	15.1162	43.0698	34
0.9610	1.0000	1.0000	1.0000	27.9536	15.1162	43.0698	34
0.9680	1.0000	1.0000	1.0000	27.9536	15.1162	43.0698	34
0.0000	0.0000	0.0000	0.0840	27.9536	15.1162	43.0698	34
0.9070	0.9240	0.9340	0.8900	27.9536	15.1162	43.0698	34
0.9590	1.0000	1.0000	1.0000	33.1415	6.2041	39.3456	35
1.0000	1.0000	1.0000	0.9480	34.7949	11.7947	46.5896	36
1.0000	1.0000	1.0000	0.9860	34.7949	11.7947	46.5896	36
1.0000	1.0000	0.8910	0.9620	31.9283	12.6693	44.5976	37
0.0300	0.0000	0.0060	0.0670	31.9283	12.6693	44.5976	37
1.0000	0.9880	1.0000	1.0000	31.9863	15.1041	47.0904	38
0.8410	0.9290	0.8400	0.8230	31.9863	15.1041	47.0904	38
0.9850	0.8550	1.0000	1.0000	31.9863	15.1041	47.0904	38
