# this was generated using
# mope get-ages data_example_frequencies.txt
# because not all families may produce heteroplasmies (and this is informative
# about the dynamics), this file is necessary to give the inference procedure
# information about all families, not just those with heteroplasmies. therefore
# with application to real data, it is important to have an ages file that
# contains all of the families
family	mother_birth_age	child_age	mother_age
0	32.3999	6.6332	39.0331
1	27.0932	8.3316	35.4247
2	25.7062	9.6119	35.3181
3	31.3333	3.613	34.9463
4	31.1829	7.7944	38.9773
5	23.5448	12.7042	36.249
6	28.1406	10.3424	38.483
7	22.7145	4.2478	26.9623
8	27.9995	16.4314	44.4309
9	37.1929	16.7008	53.8937
10	28.6094	7.7742	36.3836
13	32.7262	14.3173	47.0435
14	25.6941	7.6964	33.3905
15	28.9216	10.9786	39.9002
17	25.0235	10.2455	35.269
18	26.5424	12.6169	39.1594
20	19.9382	13.184	33.1222
21	33.8597	7.4869	41.3466
22	28.5969	10.3547	38.9517
23	27.7879	15.3058	43.0937
24	41.7588	24.8665	66.6254
25	20.0333	17.5491	37.5824
26	33.0996	12.1362	45.2357
27	33.2315	10.0271	43.2587
28	27.5088	7.4045	34.9133
29	22.4998	14.3489	36.8488
30	28.1027	15.9602	44.0628
31	27.3395	10.6533	37.9928
32	35.3933	16.2869	51.6802
33	26.0212	20.4736	46.4948
34	27.9536	15.1162	43.0698
35	33.1415	6.2041	39.3456
36	34.7949	11.7947	46.5896
37	31.9283	12.6693	44.5976
38	31.9863	15.1041	47.0904
